YEAR,MONTH,STORE,DAYPART,CATEGORY_ID,REVENUE_NET,QTY
2018,1,1,B,10,11700,2050
2018,1,1,D,10,3700,570
2018,1,1,L,10,7700,1270
2018,2,1,B,10,11800,2070
2018,2,1,D,10,3700,570
2018,2,1,L,10,7800,1270
2018,3,1,B,10,14100,2470
2018,3,1,D,10,4300,640
2018,3,1,L,10,8900,1430
2018,4,1,B,10,16800,2890
2018,4,1,D,10,4200,630
2018,4,1,L,10,9100,1480
2018,5,1,B,10,19200,3270
2018,5,1,D,10,5200,790
2018,5,1,L,10,10600,1700
2018,6,1,B,10,18600,3200
2018,6,1,D,10,4400,670
2018,6,1,L,10,10800,1740
2018,7,1,B,10,21400,3660
2018,7,1,D,10,3900,580
2018,7,1,L,10,10900,1740
2018,8,1,B,10,18300,3160
2018,8,1,D,10,3600,540
2018,8,1,L,10,10900,1740
2018,9,1,B,10,18100,3100
2018,9,1,D,10,3500,530
2018,9,1,L,10,9900,1570
2018,10,1,B,10,19800,3380
2018,10,1,D,10,3800,590
2018,10,1,L,10,9700,1590
2018,11,1,B,10,15600,2660
2018,11,1,D,10,3300,510
2018,11,1,L,10,8000,1300
2018,12,1,B,10,15200,2610
2018,12,1,D,10,3200,490
2018,12,1,L,10,8200,1330
2019,1,1,B,10,11600,1930
2019,1,1,D,10,3100,470
2019,1,1,L,10,7600,1200
2019,2,1,B,10,10500,1740
2019,2,1,D,10,2800,400
2019,2,1,L,10,6600,1050
2019,3,1,B,10,13600,2280
2019,3,1,D,10,3400,500
2019,3,1,L,10,7900,1240
2019,4,1,B,10,15600,2630
2019,4,1,D,10,3300,480
2019,4,1,L,10,8500,1330
2019,5,1,B,10,17600,2910
2019,5,1,D,10,3400,500
2019,5,1,L,10,8100,1250
2019,6,1,B,10,18400,3020
2019,6,1,D,10,3900,570
2019,6,1,L,10,9600,1490
2018,1,2,B,10,25700,4670
2018,1,2,D,10,5600,880
2018,1,2,L,10,13800,2300
2018,2,2,B,10,24800,4460
2018,2,2,D,10,5300,820
2018,2,2,L,10,12900,2130
2018,3,2,B,10,28800,5140
2018,3,2,D,10,5600,890
2018,3,2,L,10,12700,2080
2018,4,2,B,10,27800,4910
2018,4,2,D,10,5100,800
2018,4,2,L,10,11400,1870
2018,5,2,B,10,30200,5380
2018,5,2,D,10,5600,870
2018,5,2,L,10,11700,1960
2018,6,2,B,10,29500,5310
2018,6,2,D,10,5100,800
2018,6,2,L,10,12800,2150
2018,7,2,B,10,30300,5420
2018,7,2,D,10,5500,850
2018,7,2,L,10,13900,2290
2018,8,2,B,10,31100,5510
2018,8,2,D,10,5000,760
2018,8,2,L,10,12900,2120
2018,9,2,B,10,33800,5900
2018,9,2,D,10,5200,810
2018,9,2,L,10,14200,2310
2018,10,2,B,10,31700,5580
2018,10,2,D,10,4600,730
2018,10,2,L,10,13500,2230
2018,11,2,B,10,31400,5520
2018,11,2,D,10,4800,750
2018,11,2,L,10,12600,2090
2018,12,2,B,10,33100,5820
2018,12,2,D,10,5200,820
2018,12,2,L,10,15100,2470
2019,1,2,B,10,24800,4280
2019,1,2,D,10,5200,800
2019,1,2,L,10,13400,2130
2019,2,2,B,10,22400,3770
2019,2,2,D,10,5100,760
2019,2,2,L,10,11800,1870
2019,3,2,B,10,28600,4860
2019,3,2,D,10,5200,790
2019,3,2,L,10,12200,1990
2019,4,2,B,10,27900,4780
2019,4,2,D,10,4500,680
2019,4,2,L,10,12500,2000
2019,5,2,B,10,30300,5090
2019,5,2,D,10,4500,690
2019,5,2,L,10,11300,1810
2019,6,2,B,10,29600,4950
2019,6,2,D,10,5000,750
2019,6,2,L,10,13200,2070
2018,1,3,B,10,23000,4070
2018,1,3,D,10,3600,560
2018,1,3,L,10,15500,2460
2018,2,3,B,10,23800,4160
2018,2,3,D,10,3200,500
2018,2,3,L,10,14900,2360
2018,3,3,B,10,29800,5150
2018,3,3,D,10,4600,700
2018,3,3,L,10,15500,2470
2018,4,3,B,10,29500,5040
2018,4,3,D,10,4100,640
2018,4,3,L,10,15200,2400
2018,5,3,B,10,26200,4540
2018,5,3,D,10,3400,530
2018,5,3,L,10,14000,2210
2018,6,3,B,10,25900,4530
2018,6,3,D,10,3900,600
2018,6,3,L,10,15200,2410
2018,7,3,B,10,31400,5310
2018,7,3,D,10,4300,660
2018,7,3,L,10,17800,2810
2018,8,3,B,10,28400,4880
2018,8,3,D,10,4000,620
2018,8,3,L,10,15500,2460
2018,9,3,B,10,26500,4550
2018,9,3,D,10,3600,570
2018,9,3,L,10,15600,2460
2018,10,3,B,10,34100,5780
2018,10,3,D,10,4700,720
2018,10,3,L,10,17100,2690
2018,11,3,B,10,25300,4330
2018,11,3,D,10,4200,640
2018,11,3,L,10,13100,2090
2018,12,3,B,10,22500,3850
2018,12,3,D,10,3500,540
2018,12,3,L,10,14000,2220
2019,1,3,B,10,21400,3510
2019,1,3,D,10,3700,550
2019,1,3,L,10,14700,2250
2019,2,3,B,10,21600,3550
2019,2,3,D,10,3700,550
2019,2,3,L,10,14800,2230
2019,3,3,B,10,28600,4690
2019,3,3,D,10,4100,610
2019,3,3,L,10,16700,2510
2019,4,3,B,10,25200,4180
2019,4,3,D,10,4000,600
2019,4,3,L,10,13800,2130
2019,5,3,B,10,25800,4260
2019,5,3,D,10,3300,490
2019,5,3,L,10,13900,2110
2019,6,3,B,10,26600,4330
2019,6,3,D,10,3600,540
2019,6,3,L,10,14400,2190
2018,1,4,B,10,12400,2080
2018,1,4,D,10,2200,340
2018,1,4,L,10,13100,2130
2018,2,4,B,10,12700,2150
2018,2,4,D,10,2600,420
2018,2,4,L,10,11900,1910
2018,3,4,B,10,13200,2240
2018,3,4,D,10,2100,340
2018,3,4,L,10,11200,1790
2018,4,4,B,10,12700,2160
2018,4,4,D,10,1900,300
2018,4,4,L,10,11100,1790
2018,5,4,B,10,13500,2280
2018,5,4,D,10,1700,280
2018,5,4,L,10,11500,1870
2018,6,4,B,10,12900,2180
2018,6,4,D,10,2100,330
2018,6,4,L,10,10600,1710
2018,7,4,B,10,14300,2400
2018,7,4,D,10,1700,270
2018,7,4,L,10,12800,2050
2018,8,4,B,10,12800,2170
2018,8,4,D,10,2000,300
2018,8,4,L,10,11000,1770
2018,9,4,B,10,13100,2230
2018,9,4,D,10,1400,220
2018,9,4,L,10,11300,1830
2018,10,4,B,10,13600,2270
2018,10,4,D,10,1600,260
2018,10,4,L,10,11400,1820
2018,11,4,B,10,14100,2370
2018,11,4,D,10,1600,240
2018,11,4,L,10,10600,1680
2018,12,4,B,10,14200,2370
2018,12,4,D,10,2000,310
2018,12,4,L,10,12900,2060
2019,1,4,B,10,10900,1790
2019,1,4,D,10,1900,280
2019,1,4,L,10,12000,1860
2019,2,4,B,10,11300,1810
2019,2,4,D,10,2100,310
2019,2,4,L,10,11300,1720
2019,3,4,B,10,14100,2260
2019,3,4,D,10,2100,320
2019,3,4,L,10,12500,1910
2019,4,4,B,10,13300,2160
2019,4,4,D,10,1800,270
2019,4,4,L,10,11800,1860
2019,5,4,B,10,13800,2250
2019,5,4,D,10,1700,250
2019,5,4,L,10,10700,1660
2019,6,4,B,10,13600,2180
2019,6,4,D,10,1600,250
2019,6,4,L,10,12000,1840
2018,1,5,B,10,24900,4430
2018,1,5,D,10,6100,950
2018,1,5,L,10,18400,3000
2018,2,5,B,10,24800,4340
2018,2,5,D,10,5900,930
2018,2,5,L,10,17400,2810
2018,3,5,B,10,25700,4490
2018,3,5,D,10,5800,900
2018,3,5,L,10,16600,2700
2018,4,5,B,10,24000,4150
2018,4,5,D,10,5700,880
2018,4,5,L,10,16600,2680
2018,5,5,B,10,25700,4520
2018,5,5,D,10,5400,820
2018,5,5,L,10,15700,2530
2018,6,5,B,10,24200,4280
2018,6,5,D,10,5700,870
2018,6,5,L,10,15100,2470
2018,7,5,B,10,24200,4220
2018,7,5,D,10,5100,800
2018,7,5,L,10,16800,2750
2018,8,5,B,10,23700,4210
2018,8,5,D,10,5400,840
2018,8,5,L,10,15800,2560
2018,9,5,B,10,24500,4270
