STORE,DAYPART,YEAR,MONTH,CUSTOMER_COUNT
1,B,2018,1,3312
1,B,2018,2,3366
1,B,2018,3,4116
1,B,2018,4,4713
1,B,2018,5,5040
1,B,2018,6,5298
1,B,2018,7,5951
1,B,2018,8,5095
1,B,2018,9,4938
1,B,2018,10,5438
1,B,2018,11,4305
1,B,2018,12,4337
1,B,2019,1,3450
1,B,2019,2,3059
1,B,2019,3,3997
1,B,2019,4,4559
1,B,2019,5,4887
1,B,2019,6,5115
1,D,2018,1,5302
1,D,2018,2,4962
1,D,2018,3,5711
1,D,2018,4,6432
1,D,2018,5,6884
1,D,2018,6,6680
1,D,2018,7,6526
1,D,2018,8,6551
1,D,2018,9,6587
1,D,2018,10,7001
1,D,2018,11,5454
1,D,2018,12,5038
1,D,2019,1,5018
1,D,2019,2,4438
1,D,2019,3,5970
1,D,2019,4,6390
1,D,2019,5,6963
1,D,2019,6,6967
1,L,2018,1,6524
1,L,2018,2,6251
1,L,2018,3,7291
1,L,2018,4,7881
1,L,2018,5,7977
1,L,2018,6,8538
1,L,2018,7,9123
1,L,2018,8,8791
1,L,2018,9,8257
1,L,2018,10,9291
1,L,2018,11,7134
1,L,2018,12,6830
1,L,2019,1,6523
1,L,2019,2,5639
1,L,2019,3,7275
1,L,2019,4,7985
1,L,2019,5,7627
1,L,2019,6,8425
2,B,2018,1,7687
2,B,2018,2,7207
2,B,2018,3,8448
2,B,2018,4,8254
2,B,2018,5,8710
2,B,2018,6,8646
2,B,2018,7,9033
2,B,2018,8,8865
2,B,2018,9,9272
2,B,2018,10,9010
2,B,2018,11,8938
2,B,2018,12,9412
2,B,2019,1,7484
2,B,2019,2,6552
2,B,2019,3,8400
2,B,2019,4,8343
2,B,2019,5,8960
2,B,2019,6,8943
2,D,2018,1,7012
2,D,2018,2,6548
2,D,2018,3,6940
2,D,2018,4,6778
2,D,2018,5,7116
2,D,2018,6,6832
2,D,2018,7,7394
2,D,2018,8,6985
2,D,2018,9,7452
2,D,2018,10,7751
2,D,2018,11,7199
2,D,2018,12,8409
2,D,2019,1,7347
2,D,2019,2,6520
2,D,2019,3,7960
2,D,2019,4,6903
2,D,2019,5,7478
2,D,2019,6,7552
2,L,2018,1,9327
2,L,2018,2,8242
2,L,2018,3,8688
2,L,2018,4,8575
2,L,2018,5,8541
2,L,2018,6,8993
2,L,2018,7,9455
2,L,2018,8,9351
2,L,2018,9,9266
2,L,2018,10,9879
2,L,2018,11,9067
2,L,2018,12,10625
2,L,2019,1,9313
2,L,2019,2,8353
2,L,2019,3,9242
2,L,2019,4,9044
