STORE,CITY,STATE,NAME,AREA,REGIONAL_DIRECTOR,REGION
1,RIO GRANDE,OH,RIO GRANDE,1,"GREEN, JOE","GRANDE, OH"
2,CHILLICOTHE,OH,CHILLICOTHE,26,"YELLOW, JAMES","CHILLICOTHE, OH"
3,COLUMBUS,OH,ROUTE 161,7,"YELLOW, JAMES","COLUMBUS, OH"
4,COLUMBUS,OH,GROVES ROAD,81,"YELLOW, JAMES","COLUMBUS, OH"
5,SOUTH CHARLESTON,WV,SOUTH CHARLESTON,11,"GREEN, JOE","CHARLESTON, WV"
6,GRAND RAPIDS,MI,GRAND RAPIDS,14,"RED, KATHY","GRAND RAPIDS, MI"
7,IRWIN,PA,IRWIN,16,"RED, KATHY","PITTSBURGH, PA"
8,DAVENPORT,FL,DAVENPORT,95,"BLUE, MICHAEL","TAMPA, FL"
9,PORT CHARLOTTE,FL,PORT CHARLOTTE,35,"BLUE, MICHAEL","FORT MYERS, FL"
10,KETTERING,OH,KETTERING,15,"GREEN, JOE","DAYTON, OH"
